articulo;palabra;silaba_tonica;campo_semantico;color_campo;color_fondo;ejemplo;gramapop;combo1_estructura;combo1_ejemplo;combo2_estructura;combo2_ejemplo;combo3_estructura;combo3_ejemplo;EN;FR;PT;AL;PL;NL;GR;TR;CZ
el;BIBLIOTECARIO;bi-blio-te-CA-rio;PROFESIONES;#C45C3E;#C4B5D4;El bibliotecario de mi instituto se llama Luis.;el/un bibliotecario | los/unos bibliotecarios | la/una bibliotecaria | las/unas bibliotecarias;ser + [profesión];Mi tío es bibliotecario.;trabajar en + [lugar];Trabaja en la biblioteca.;ir a + el/la + [profesión];Voy al bibliotecario a pedir un libro.;LIBRARIAN;BIBLIOTHÉCAIRE;BIBLIOTECÁRIO;BIBLIOTHEKAR;BIBLIOTEKARZ;BIBLIOTHECARIS;ΒΙΒΛΙΟΘΗΚΟΝΟΜΟΣ;KÜTÜPHANECİ;KNIHOVNÍK
el;CAJERO;ca-JE-ro;PROFESIONES;#C45C3E;#C4B5D4;La cajera del supermercado es muy amable.;el/un cajero | los/unos cajeros | la/una cajera | las/unas cajeras;ser + [profesión];Lorena es cajera.;trabajar de + [profesión];Mi hermano trabaja de cajero los sábados.;trabajar en + [lugar];Trabaja en el supermercado.;CASHIER;CAISSIER;CAIXA;KASSIERER;KASJER;KASSIER;ΤΑΜΙΑΣ;KASİYER;POKLADNÍK
el;CAMARERO;ca-ma-RE-ro;PROFESIONES;#C45C3E;#C4B5D4;El camarero del restaurante se llama Rafa.;el/un camarero | los/unos camareros | la/una camarera | las/unas camareras;ser + [profesión];Rafa es camarero.;trabajar en + [lugar];Trabaja en un restaurante italiano.;trabajar de + [profesión];Mi primo trabaja de camarero en verano.;WAITER;SERVEUR;GARÇOM;KELLNER;KELNER;OBER;ΣΕΡΒΙΤΟΡΟΣ;GARSON;ČÍŠNÍK
el/la;DEPENDIENTE;de-pen-DIEN-te;PROFESIONES;#C45C3E;#B8C8D8;La dependiente de la librería es muy simpática.;el/la/un/una dependiente | los/las/unos/unas dependientes | Misma forma para masculino y femenino;ser + [profesión];Mi prima es dependiente.;trabajar en + [lugar];Trabaja en una librería del centro.;trabajar de + [profesión];Trabaja de dependiente en una farmacia.;SHOP ASSISTANT;VENDEUR;ATENDENTE;VERKÄUFER;SPRZEDAWCA;VERKOPER;ΥΠΑΛΛΗΛΟΣ;TEZGÂHTAR;PRODAVAČ
el;FARMACÉUTICO;far-ma-CÉU-ti-co;PROFESIONES;#C45C3E;#C4B5D4;El farmacéutico vive al lado de mi casa.;el/un farmacéutico | los/unos farmacéuticos | la/una farmacéutica | las/unas farmacéuticas;ser + [profesión];La madre de Katrina es farmacéutica.;ir a + el/la + [profesión];Voy al farmacéutico esta tarde.;trabajar en + [lugar];Trabaja en la farmacia del barrio.;PHARMACIST;PHARMACIEN;FARMACÊUTICO;APOTHEKER;FARMACEUTA;APOTHEKER;ΦΑΡΜΑΚΟΠΟΙΟΣ;ECZACI;LÉKÁRNÍK
el;JARDINERO;jar-di-NE-ro;PROFESIONES;#C45C3E;#C4B5D4;El jardinero trabaja en el parque del centro.;el/un jardinero | los/unos jardineros | la/una jardinera | las/unas jardineras;ser + [profesión];Mi abuelo es jardinero.;trabajar de + [profesión];Mi tío trabaja de jardinero los fines de semana.;trabajar en + [lugar];Trabaja en un parque grande.;GARDENER;JARDINIER;JARDINEIRO;GÄRTNER;OGRODNIK;TUINMAN;ΚΗΠΟΥΡΟΣ;BAHÇIVAN;ZAHRADNÍK
el;LIBRERO;li-BRE-ro;PROFESIONES;#C45C3E;#C4B5D4;La librera del barrio conoce todos los libros.;el/un librero | los/unos libreros | la/una librera | las/unas libreras;ser + [profesión];La madre de Lucía es librera.;trabajar en + [lugar];Trabaja en una librería antigua.;ir a + el/la + [profesión];Voy al librero a comprar un libro.;BOOKSELLER;LIBRAIRE;LIVREIRO;BUCHHÄNDLER;KSIĘGARZ;BOEKHANDELAAR;ΒΙΒΛΙΟΠΩΛΗΣ;KİTAPÇI;KNIHKUPEC
el;MÉDICO;MÉ-di-co;PROFESIONES;#C45C3E;#C4B5D4;La médica del hospital se llama Carmen.;el/un médico | los/unos médicos | la/una médica | las/unas médicas;ser + [profesión];El padre de David es médico.;ir a + el/la + [profesión];Voy al médico mañana.;trabajar en + [lugar];Trabaja en el hospital del centro.;DOCTOR;MÉDECIN;MÉDICO;ARZT;LEKARZ;ARTS;ΓΙΑΤΡΟΣ;DOKTOR;LÉKAŘ
el;PROFESOR;pro-fe-SOR;PROFESIONES;#C45C3E;#C4B5D4;Mi profesora de español se llama Alicia.;el/un profesor | los/unos profesores | la/una profesora | las/unas profesoras | Plural masculino en -es;ser + [profesión];Mi tía es profesora de Matemáticas.;ir a + el/la + [profesión];Voy al profesor a preguntar la nota.;trabajar en + [lugar];Trabaja en el instituto.;TEACHER;PROFESSEUR;PROFESSOR;LEHRER;NAUCZYCIEL;LERAAR;ΚΑΘΗΓΗΤΗΣ;ÖĞRETMEN;UČITEL
el;SACERDOTE;sa-cer-DO-te;PROFESIONES;#C45C3E;#95CDEA;El sacerdote de la iglesia se llama Carlos.;el/un sacerdote | los/unos sacerdotes | Masculino;ser + [profesión];Mi vecino es sacerdote.;trabajar en + [lugar];Trabaja en una iglesia antigua.;trabajar de + [profesión];Trabaja de sacerdote desde hace muchos años.;PRIEST;PRÊTRE;PADRE;PRIESTER;KSIĄDZ;PRIESTER;ΙΕΡΕΑΣ;RAHİP;KNĚZ
